run,html_s,js_s,css_s,api_s,rtt_s,total_s,under_target
1,0.002114,0.090141,0.001576,0.002205,0.6,0.696036,1
2,0.001238,0.100065,0.002365,0.001939,0.6,0.705607,1
3,0.002658,0.108517,0.001909,0.002839,0.6,0.715923,1
4,0.001774,0.104070,0.001393,0.001959,0.6,0.7091959999999999,1
5,0.001676,0.194822,0.001261,0.001705,0.6,0.799464,1
6,0.000873,0.168065,0.001996,0.003579,0.6,0.774513,1
7,0.000759,0.217857,0.002375,0.004010,0.6,0.825001,1
8,0.002247,0.233168,0.002384,0.003949,0.6,0.8417479999999999,1
9,0.002371,0.099365,0.002083,0.003670,0.6,0.707489,1
10,0.002258,0.238218,0.002525,0.004262,0.6,0.847263,1
11,0.002328,0.226377,0.000925,0.001068,0.6,0.8306979999999999,1
12,0.000803,0.159936,0.002092,0.004203,0.6,0.767034,1
13,0.002294,0.234202,0.002029,0.003351,0.6,0.841876,1
14,0.001500,0.091823,0.001615,0.002688,0.6,0.697626,1
15,0.001430,0.125088,0.001038,0.001582,0.6,0.729138,1
16,0.000716,0.239094,0.001993,0.003049,0.6,0.8448519999999999,1
17,0.000816,0.236253,0.001985,0.003222,0.6,0.842276,1
18,0.001520,0.236526,0.002126,0.003170,0.6,0.8433419999999999,1
19,0.001861,0.215603,0.002007,0.003162,0.6,0.822633,1
20,0.001477,0.236497,0.002254,0.003715,0.6,0.843943,1
21,0.001589,0.238151,0.002095,0.003606,0.6,0.845441,1
22,0.001610,0.214069,0.001465,0.002606,0.6,0.81975,1
23,0.001599,0.138810,0.001607,0.002862,0.6,0.7448779999999999,1
24,0.001368,0.233224,0.001954,0.003021,0.6,0.839567,1
25,0.001515,0.233256,0.002140,0.002931,0.6,0.839842,1
26,0.001431,0.230395,0.002042,0.004044,0.6,0.837912,1
27,0.001355,0.196802,0.001212,0.001727,0.6,0.801096,1
28,0.000737,0.114455,0.001728,0.002957,0.6,0.719877,1
29,0.002314,0.107860,0.002211,0.004243,0.6,0.7166279999999999,1
30,0.002227,0.235129,0.002205,0.004047,0.6,0.843608,1
